school_number,school_name,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
3,BERMUDIAN SPRINGS HS,41.4,66,42.1,2018
17,NEW OXFORD SHS,42.4,69,35.4,2018
6269,FAIRFIELD AREA HS,59.1,71,43,2018
6271,GETTYSBURG AREA HS,42.1,68.9,45.7,2018
14,LITTLESTOWN SHS,39.4,64.7,36.5,2018
21,BIGLERVILLE HS,43.5,71.8,36.9,2018
5273,A W BEATTIE CAREER CENTER,8.3,38.5,9.1,2018
7846,ACADEMY CHARTER SCHOOL,0,0,0,2018
29,SPRINGDALE JSHS,53.4,72.4,48.2,2018
5199,AVONWORTH SHS,46.5,66.7,35.7,2018
50,BALDWIN SHS,46.2,69.9,37.7,2018
62,BETHEL PARK SHS,46.8,74.2,46.2,2018
70,BRENTWOOD SHS,58.1,70.3,43.2,2018
79,CARLYNTON JSHS,62.4,75.3,55.9,2018
6706,CHARTIERS VALLEY HS,60,68.8,42.5,2018
7727,CITY CHS,33.6,66.2,32.6,2018
8094,CLAIRTON MS/HS,30,53.8,32.5,2018
8087,CORNELL HS,25.6,51.3,25.6,2018
513,DEER LAKES HS,48,55,42.4,2018
8340,EAST ALLEGHENY JSHS,31.3,40.2,35.3,2018
144,ELIZABETH FORWARD SH,61,71.1,48.6,2018
5016,FORBES RD CAREER & TECH CTR,18.8,33.3,7.7,2018
156,FOX CHAPEL AREA SHS,43.8,68.8,31.8,2018
170,GATEWAY SHS,53.6,73.5,44.6,2018
5190,HAMPTON HS,39.8,60.7,27.9,2018
5153,HIGHLANDS HS,46,55.2,35.8,2018
8308,HILL HOUSE PASSPORT ACADEMY CS,3.2,10,3.6,2018
5112,KEYSTONE OAKS HS,62.4,68,45.3,2018
6105,MCKEESPORT AREA SHS,27.5,45.3,21.4,2018
6672,MCKEESPORT AREA TECH CTR,,,,2018
5017,MONTOUR HS,43.2,67.8,38.7,2018
4951,MOON SHS,63.8,74.3,42.5,2018
254,MT LEBANON SHS,59.6,73.9,41.3,2018
8305,NORTH ALLEGHENY HIGH SCHOOL,47.1,62.1,34.3,2018
7101,NORTH HILLS SHS,31.3,66.4,37.4,2018
53,NORTHGATE JSHS,50.7,60.8,36.5,2018
7821,PA DISTANCE LEARNING CS,25,56.5,36.2,2018
5274,PARKWAY WEST AVTS,,,,2018
309,PENN HILLS SHS,24.5,47.7,21.9,2018
315,PINE-RICHLAND HS,47,82.8,37.8,2018
8203,ACADEMY AT WESTINGHOUSE,8.3,25.3,12.5,2018
409,ALLDERDICE HS,45.6,67.4,29.5,2018
6915,BRASHEAR HS,27.3,45.5,21,2018
412,CARRICK HS,43.3,67.4,31.4,2018
416,PERRY TRADITIONAL ACAD HS,15.6,41.8,12.8,2018
8106,PITTSBURGH CAPA 6-12,51.2,69.9,41.6,2018
8110,PITTSBURGH MILLIONES 6-12,26.9,31.9,8.2,2018
8105,PITTSBURGH OBAMA 6-12,54.3,74.1,36.2,2018
6047,PITTSBURGH OLIVER,,,0,2018
8300,PITTSBURGH ONLINE ACADEMY,33.3,54.5,29.2,2018
8107,PITTSBURGH SCIENCE & TECH ACAD,66.7,88.5,55.1,2018
435,PLUM SHS,60.4,75.7,44.7,2018
8129,PROPEL CS - BRADDOCK HILLS,42.3,71.7,26.5,2018
7772,PROPEL CS - HOMESTEAD,28.6,51.4,25.7,2018
448,QUAKER VALLEY HS,43.5,64.9,30,2018
6928,RIVERVIEW HS,45.3,56.3,40.6,2018
460,SHALER AREA HS,57.2,68.8,43.2,2018
440,SOUTH ALLEGHENY MS/HS,55,67.9,43.1,2018
470,SOUTH FAYETTE TWP HS,49.5,75.8,37.7,2018
467,SOUTH PARK SHS,48.6,71.7,49.6,2018
7648,SPECTRUM CS,,,,2018
6113,STEEL CENTER AVTS,,,,2018
196,STEEL VALLEY SHS,34.3,55,29,2018
477,STO-ROX HS,25.5,41.8,20,2018
492,UPPER SAINT CLAIR HS,37.9,72.9,28.5,2018
7562,URBAN PATHWAYS 6-12 CHARTER SCHO,15.4,32.5,18.4,2018
509,WEST ALLEGHENY SHS,55.8,72.1,50,2018
523,THOMAS JEFFERSON HS,50.5,76.5,48.4,2018
536,WEST MIFFLIN AREA HS,42.4,64.2,33.6,2018
8392,WESTINGHOUSE ARTS ACADEMY CS,47.8,52.6,37.5,2018
107,WOODLAND HILLS JSHS,33.5,41.9,25.4,2018
2320,APOLLO-RIDGE HS,64.6,69.6,44.3,2018
8342,ARMSTRONG JSHS,58.9,73.9,38.8,2018
7640,WEST SHAMOKIN JSHS,77,79.7,39.2,2018
594,FREEPORT AREA SHS,46,70.2,38.4,2018
7923,LEECHBURG AREA HS,59.2,80.8,51,2018
4807,LENAPE AVTS,43.5,47.8,44.9,2018
8086,ALIQUIPPA JSHS,31.9,40.8,8.5,2018
6555,AMBRIDGE AREA HS,43.6,67.8,29.7,2018
640,BEAVER AREA SHS,56.1,64.7,33.1,2018
6985,BEAVER COUNTY AVTS,,,,2018
649,BEAVER FALLS AREA SH,46.4,60.6,43,2018
6707,BLACKHAWK HS,49,78.8,42.5,2018
8044,CENTRAL VALLEY HS,43.3,73.2,44.9,2018
6563,FREEDOM AREA SHS,48.5,60.8,40.6,2018
675,HOPEWELL SHS,56.6,73.3,55.9,2018
7859,LINCOLN PARK PERFORMING ARTS CS,50.3,78.7,47.3,2018
695,NEW BRIGHTON AREA HS,58.2,62.2,42.9,2018
7650,PA CYBER CS,36,59.6,35.7,2018
700,RIVERSIDE HS,42.7,63.9,35.3,2018
8000,ROCHESTER AREA HS,48.9,58.5,51.1,2018
714,SOUTH SIDE HS,29,76.8,49.3,2018
719,WESTERN BEAVER CO JS/HS,54.9,69.4,52.9,2018
726,BEDFORD SHS,47.1,63.6,55.3,2018
7096,BEDFORD CO TECHNICAL CENTER,,,,2018
732,CHESTNUT RIDGE SHS,55.9,67.6,50.5,2018
7897,EVERETT AREA HS,64.8,83.1,51.1,2018
8154,HOPE FOR HYNDMAN CS,33.3,50,27.8,2018
747,NORTHERN BEDFORD CO M/S HS,66,72.2,43.4,2018
753,TUSSEY MOUNTAIN HS,44.1,51.7,48.3,2018
820,ANTIETAM MIDDLE/SENIOR HS,29.3,50,46.6,2018
6304,BERKS CTC - EAST CAMPUS,,,,2018
7068,BERKS CTC - WEST CAMPUS,,,,2018
6804,BOYERTOWN AREA JHS-E,,,,2018
6306,BOYERTOWN AREA SHS,39.8,72.7,43.9,2018
6308,BRANDYWINE HEIGHTS HIGH SCHOOL,47.3,60.9,27,2018
777,CONRAD WEISER HIGH SCHOOL,34.8,69,35.3,2018
4810,DANIEL BOONE AREA HS,51.7,71.3,39.4,2018
7544,DANIEL BOONE AREA MS,,,,2018
788,EXETER TWP SHS,46.9,61.9,36.6,2018
5023,FLEETWOOD SHS,61.3,76.4,52.4,2018
802,GOVERNOR MIFFLIN SHS,48.7,67.4,40.6,2018
808,HAMBURG AREA HS,50,67.1,47.2,2018
8155,I-LEAD CS,4.3,9.8,0,2018
816,KUTZTOWN AREA SHS,65.4,74.5,54.7,2018
6610,MUHLENBERG HS,41.7,71.9,38.8,2018
6318,OLEY VALLEY SHS,58.3,70.4,49.7,2018
8116,READING SHS,35.8,53.3,30.3,2018
5275,READING-MUHLENBERG CTC,7.7,16,0,2018
864,SCHUYLKILL VALLEY HS,50.7,73.7,55.5,2018
4670,TULPEHOCKEN JSHS,52.1,66,43.5,2018
873,TWIN VALLEY HS,41,70,44.8,2018
6980,WILSON HS,57.1,76.5,34.4,2018
887,WYOMISSING AREA JSHS,43.4,63.2,22,2018
913,ALTOONA AREA HS,48.4,66.5,39.7,2018
7425,WM P KIMMEL ALT,,,,2018
917,BELLWOOD ANTIS HS,45.7,66.3,39.8,2018
7720,CENTRAL PENN DIGITAL LEARNING FN,20,18.8,6.7,2018
921,CLAYSBURG-KIMMEL HS,46.3,62.1,31.8,2018
6193,GREATER ALTOONA CTC,,,,2018
5207,HOLLIDAYSBURG AREA S,53.2,78.8,47.9,2018
941,CENTRAL HS,63,75,50.8,2018
949,TYRONE AREA HS,50,67.7,39.2,2018
951,WILLIAMSBURG COMM JSHS,66.7,69.7,51.5,2018
958,ATHENS AREA HS,33.9,67.5,48.8,2018
988,CANTON JSHS,47.1,72.5,43.4,2018
964,NORTHEAST BRADFORD J,56.1,56.7,55.2,2018
6908,NORTHERN TIER CAREER CENTER,,,,2018
965,SAYRE AREA HS,47.9,81.1,62.2,2018
5208,TOWANDA AREA JSHS,40.9,55.1,43.3,2018
1000,TROY AREA SHS,46.3,72.3,47.4,2018
1005,WYALUSING VALLEY JSHS,39,75.6,56.1,2018
5116,BENSALEM TWP HS,41.7,59.6,36.9,2018
7030,SHAFER MS,,,,2018
6451,SNYDER MS,,,,2018
1014,BRISTOL JSHS,33.3,54.1,23,2018
1029,TRUMAN SHS,39.4,60.9,27.8,2018
1030,BUCKS COUNTY TECHNICAL HS,50.4,72.9,37.7,2018
7274,LOG COLLEGE MS,,,,2018
1040,WILLIAM TENNENT HS,49.2,70.4,49.5,2018
5133,CENTRAL BUCKS HS-EAST,27.8,71.8,31,2018
7790,CENTRAL BUCKS HS-SOUTH,38,66.9,37.8,2018
1043,CENTRAL BUCKS HS-WEST,24.7,65.9,34.2,2018
5096,COUNCIL ROCK NORTH SHS,39.8,64.6,44.9,2018
7749,COUNCIL ROCK SOUTH SHS,48.1,65.7,44.5,2018
7726,CTR STUDENT LEARNING CS - PENNSB,37.5,38.5,32,2018
