aun,school_name,school_number
124150002,21st Century Cyber CS,7691
103020407,A W Beattie Career Center,5273
119350303,Abington Heights HS,5091
119350303,Abington Heights MS,6839
119350303,Clarks Summit El Sch,7570
119350303,Newton-Ransom Sch,2407
119350303,South Abington Sch,6398
119350303,Waverly Sch,2402
123460302,Abington MS,3242
123460302,Abington SHS,3241
123460302,Copper Beech Sch,7707
123460302,Highland Sch,3229
123460302,McKinley Sch,5075
123460302,Overlook Sch,3232
123460302,Roslyn Sch,3234
123460302,Rydal El Sch,3226
123460302,Willow Hill Sch,4910
125230001,Achievement House CS,7824
126510015,Ad Prima CS,7825
112015106,Adams County Technical Institute,8471
108110307,Admiral Peary AVTS,6661
126510020,Agora Cyber CS,7858
101260303,A L Wilson El Sch,8364
101260303,Albert Gallatin Area SHS,6001
101260303,Albert Gallatin North MS,7607
101260303,Albert Gallatin South MS,7608
101260303,Friendship Hill El Sch,4922
101260303,George J Plava El Sch,2129
101260303,Masontown El Sch,6002
101260303,Smithfield El Sch,4921
127040503,Aliquippa El Sch,8085
127040503,Aliquippa JSHS,8086
103000000,Allegheny IU 3,0
103020603,Acmetonia El Sch,5296
103020603,Springdale JSHS,29
106160303,Allegheny-Clarion Valley Elem,7467
106160303,Allegheny-Clarion Valley HS,4664
121390302,Brigadier General Anna Mae Hays El Sch,8484
121390302,Building 21 Allentown,8412
121390302,Central El Sch,2790
121390302,Francis D Raub MS,2792
121390302,Harrison-Morton MS,2791
121390302,Hiram W Dodd El Sch,2768
121390302,Jackson Early Childhood Center,8413
121390302,Jefferson El Sch,2774
121390302,Lehigh Parkway El Sch,2775
121390302,Louis E Dieruff HS,2795
121390302,Luis A. Ramos El Sch,8140
121390302,Mosser El Sch,2779
121390302,Muhlenberg El Sch,2780
121390302,Ritter El Sch,2781
121390302,Roosevelt El Sch,2782
121390302,Sheridan El Sch,6448
121390302,South Mountain MS,2793
121390302,Trexler MS,4929
121390302,Union Terrace El Sch,2785
121390302,Washington El Sch,2786
121390302,William Allen HS,2794
126512990,Alliance for Progress CS,7543
108070502,Altoona Area HS,913
108070502,Altoona Area Jr HS,7986
108070502,Baker El Sch,891
108070502,Irving El Sch,908
108070502,Juniata El Sch,895
108070502,Juniata Gap El Sch,930
108070502,Kimmel Alternative School,7425
108070502,Logan El Sch,933
108070502,Mowrie A Ebner El Sch,7199
108070502,Penn-Lincoln El Sch,8280
108070502,Pleasant Valley El Sch,902
127040703,Ambridge Area HS,6555
127040703,Ambridge Area MS,633
127040703,Economy El Sch,629
127040703,Highland El Sch,661
127040703,State Street El Sch,632
113380303,Annville Cleona HS,2725
113380303,Annville El Sch,2724
113380303,Annville-Cleona MS,8178
113380303,Cleona El Sch,2723
114060503,Antietam MS/HS,820
114060503,Mt Penn El Sch,5205
114060503,Mt Penn Primary Ctr,8482
104510394,Antonia Pantoja Community CS,8031
128030603,Apollo-Ridge Elem Sch,7787
128030603,Apollo-Ridge HS,2320
128030603,Apollo-Ridge MS,6570
108000000,Appalachia IU 8,0
128000000,ARIN IU 28,0
128030852,Armstrong JSHS,8342
128030852,Dayton El Sch,569
128030852,Elderton El Sch,6574
128030852,Lenape El Sch,5002
128030852,Shannock Valley El Sch,6577
128030852,West Hills Intermediate Sch,7896
128030852,West Hills Primary Sch,7895
128030852,West Shamokin JSHS,7640
121395927,Arts Academy CS,8214
121399898,Arts Academy Elementary CS,8336
181519176,ASPIRA Bilingual Cyber CS,8148
117080503,Athens Area HS,958
117080503,Audrielle Lynch-Ellen Bustin El Sch,4918
117080503,Harlan Rowe MS,8220
117080503,SRU El Sch,8219
109530304,Austin Area El Sch,6221
109530304,Austin Area JSHS,6222
101630504,Avella Area JSHS,4165
101630504,Avella El Center,7098
124150003,Avon Grove CS,7721
124150503,Avon Grove HS,1367
124150503,Avon Grove Intrmd Sch,1365
124150503,Fred S Engle MS,5216
124150503,Penn London El Sch,7323
103020753,Avonworth El Sch,34
103020753,Avonworth HS,5199
103020753,Avonworth MS,7669
103020753,Avonworth Primary Center,8320
127046517,Baden Academy CS,8211
110141003,Bald Eagle Area JSHS,1335
110141003,Howard El Sch,1333
110141003,Mountaintop Area El Sch,1334
110141003,Port Matilda El Sch,1331
110141003,Wingate El Sch,1330
103021102,Baldwin SHS,50
103021102,J.E. Harrison Education Ctr,6787
103021102,McAnnulty El Sch,37
103021102,Whitehall El Sch,48
120480803,Bangor Area HS,3434
120480803,Bangor Area MS,5257
120480803,DeFranco El Sch,8450
120480803,Five Points El Sch,8449
120480803,Washington El Sch,3430
118400001,Bear Creek Community CS,7827
127041203,Beaver Area MS,7386
127041203,Beaver Area SHS,640
127041203,College Square El Sch,8065
127041203,Dutch Ridge El Sch,7823
127041307,Beaver County CTC,6985
127000000,Beaver Valley IU 27,0
108051003,Bedford El Sch,7545
108051003,Bedford MS,7021
108051003,Bedford SHS,726
108051307,Bedford County Technical Center,7096
107650603,Belle Vernon Area HS,4930
107650603,Belle Vernon Area MS,8269
107650603,Marion El Sch,4328
107650603,Rostraver El Sch,4325
110141103,Bellefonte Area HS,1343
110141103,Bellefonte Area MS,1342
110141103,Bellefonte El Sch,1341
110141103,Benner El Sch,1339
110141103,Marion-Walker El Sch,1340
110141103,Pleasant Gap El Sch,6229
108071003,Bellwood Antis MS,7144
108071003,Bellwood-Antis HS,917
108071003,Lewis M Myers El Sch,914
126510010,Belmont CS,7750
122091002,Belmont Hills El Sch,5211
122091002,Benjamin Rush El Sch,4675
122091002,Bensalem Twp HS,5116
122091002,Cecelia Snyder MS,6451
122091002,Cornwells El Sch,1006
122091002,Robert K Shafer MS,7030
122091002,Russell C Struble El Sch,6896
122091002,Samuel K Faust El Sch,1008
122091002,Valley El Sch,6788
116191004,Appleman El Sch,1594
116191004,Benton Area HS,8434
116191004,Benton Area MS,8433
101630903,Bentworth El Ctr,7987
101630903,Bentworth MS,7988
101630903,Bentworth SHS,4188
114000000,Berks County IU 14,0
114060557,Berks CTC-East Campus,6304
114060557,Berks CTC-West Campus,7068
108561003,Berlin Brothersvalley El Sch,6206
108561003,Berlin Brothersvalley MS,7645
108561003,Berlin Brothersvalley SHS,6207
112011103,Bermudian Springs El Sch,7302
112011103,Bermudian Springs HS,3
112011103,Bermudian Springs MS,6921
116191103,Berwick Area HS,1605
116191103,Berwick Area MS,6808
116191103,Nescopeck El Sch,6349
116191103,Salem El Sch,1597
116191103,West Berwick El Sch,8378
103021252,Abraham Lincoln El Sch,4802
103021252,Benjamin Franklin El Sch,7326
103021252,Bethel Memorial El Sch,55
103021252,Bethel Park HS,62
103021252,George Washington El Sch,4902
103021252,Independence MS,61
103021252,Neil Armstrong 5-6 MS,7327
103021252,William Penn El Sch,60
120481002,Asa Packer El Sch,5063
120481002,Broughal MS,3464
120481002,Calypso El Sch,3436
120481002,Clearview El Sch,3453
120481002,Donegan El Sch,6722
120481002,East Hills MS,4956
120481002,Farmersville El Sch,3456
120481002,Fountain Hill El Sch,6723
120481002,Freedom HS,4957
120481002,Freemansburg El Sch,3458
120481002,Governor Wolf El Sch,3449
120481002,Hanover El Sch,3459
120481002,James Buchanan El Sch,3442
120481002,Liberty HS,3465
120481002,Lincoln El Sch,3443
120481002,Marvine El Sch,3454
120481002,Miller Heights El Sch,3455
120481002,Nitschmann MS,3463
120481002,Northeast MS,3462
120481002,Spring Garden El Sch,3452
120481002,Thomas Jefferson El Sch,6633
120481002,William Penn El Sch,6634
120481107,Bethlehem AVTS,5286
101631003,Bethlehem-Center El Sch,6975
101631003,Bethlehem-Center MS,5267
101631003,Bethlehem-Center SHS,4181
127041503,Beaver Falls Area SHS,649
127041503,Beaver Falls MS,648
127041503,Big Beaver El Sch,650
127041503,Central El Sch,642
115210503,Big Spring HS,1677
115210503,Big Spring MS,6326
115210503,Mount Rock Elem Sch,7951
115210503,Newville El Sch,1676
115210503,Oak Flat El Sch,7355
127041603,Blackhawk HS,6707
127041603,Blackhawk Intermediate Sch,8476
127041603,Highland MS,6558
127041603,Patterson Primary Sch,6560
108110603,Blacklick Valley El Ctr,6828
108110603,Blacklick Valley JSHS,5135
117000000,BLaST IU 17,0
116191203,Beaver-Main El Sch,1610
116191203,Bloomsburg Area HS,1612
116191203,Bloomsburg Area MS,1611
116191203,Memorial El Sch,1606
116191203,W W Evans Memorial El Sch,1608
129540803,Blue Mountain El East Sch,4659
129540803,Blue Mountain HS,3891
129540803,Blue Mountain MS,5263
129540803,Elementary West,8505
119581003,Blue Ridge El Sch,6891
119581003,Blue Ridge HS,4034
119581003,Blue Ridge MS,7400
168513758,Bluford CS,8145
114060753,Boyertown Area MS-East,6804
114060753,Boyertown Area MS-West,6305
114060753,Boyertown Area SHS,6306
114060753,Boyertown El Sch,6307
114060753,Colebrookdale El Sch,762
114060753,Earl El Sch,763
114060753,Gilbertsville El Sch,754
114060753,New Hanover-Upper Frederick El,755
114060753,Washington El Sch,766
185515523,Boys Latin of Philadelphia CS,7981
109420803,Bradford Area HS,4691
109420803,Floyd C Fretz MS,3092
109420803,George Blaisdell El Sch,7037
109420803,School Street El Sch,7281
114060853,Brandywine Heights El Sch,768
114060853,Brandywine Heights HS,6308
114060853,Brandywine Heights Intrmd/MS,8383
103021453,Brentwood MS,7342
103021453,Brentwood SHS,70
103021453,Elroy Avenue El Sch,69
103021453,Moore Sch,68
122091303,Bristol HS,1014
122091303,Bristol MS,7743
122091303,Warren Snyder-John Girotti El Sch,1013
122091352,Benjamin Franklin MS,1027
122091352,Brookwood El Sch,8368
122091352,Keystone El Sch,8369
122091352,Mill Creek El Sch,8367
122091352,Neil A Armstrong MS,8407
122091352,Truman SHS,1029
106330703,Brockway Area Elementary Sch,5148
106330703,Brockway Area JSHS,2362
106330803,Brookville JSHS,6162
106330803,Hickory Grove El Sch,5231
106330803,Northside El Sch,6163
106330803,Pinecreek El Sch,2368
101260803,Brownsville Area El Sch,8384
101260803,Brownsville Area HS,4818
101260803,Brownsville Area MS,2154
122000000,Bucks County IU 22,0
122093460,Bucks County Montessori CS,7670
122091457,Bucks County Technical High School,1030
101631203,Burgettstown El Ctr,7477
101631203,Burgettstown MS/HS,4195
107650703,Bon Air El Sch,4333
107650703,Burrell HS,4340
107650703,Charles A Huston MS,4339
107650703,Stewart El Sch,4336
104101252,Broad Street El Sch,8494
104101252,Butler Area IHS,6690
104101252,Butler Area SHS,8344
104101252,Center Twp Sch,1148
104101252,Connoquenessing El Sch,1150
104101252,Emily Brittain El Sch,1134
104101252,Mcquistion El Sch,1138
104101252,Northwest El Sch,1142
104101252,Summit El Sch,1184
104101307,Butler County AVTS,6999
101636920,California Academy of Learning CS,8497
101631503,California Area El Sch,7221
101631503,California Area MS,6939
101631503,California Area SHS,4203
108111203,Cambria Heights El Sch,7347
108111203,Cambria Heights MS,1199
108111203,Cambria Heights SHS,5212
109122703,Cameron County JSHS,1299
109122703,Woodland El Sch,1298
115211003,Camp Hill MS,7509
115211003,Camp Hill SHS,1682
115211003,Eisenhower El Sch,1678
115211003,Hoover El Sch,1680
101631703,Borland Manor El Sch,4211
101631703,Canon-McMillan SHS,4217
101631703,Canonsburg MS,7217
101631703,Cecil Intrmd Sch,7216
101631703,Hills-Hendersonville El Sch,4938
101631703,Muse El Sch,8397
101631703,North Strabane Intrmd Sch,7764
101631703,South Central El,4937
101631703,Wylandville El Sch,4214
117081003,Canton Area El Sch,5303
117081003,Canton JSHS,988
115000000,Capital Area IU 15,0
115227010,Capital Area School for the Arts CS,8278
121131507,Carbon Career & Technical Institute,4870
119351303,Carbondale Area JSHS,2420
119351303,Carbondale El Sch,7457
121000000,Carbon-Lehigh IU 21,0
120483007,Career Institute of Technology,5109
115211103,Bellaire El Sch,1692
115211103,Carlisle Area HS,1694
115211103,Crestview El Sch,1689
115211103,Hamilton El Sch,1691
115211103,Lamberton MS,7011
115211103,Letort El Sch,1683
115211103,Mooreland El Sch,1690
115211103,Mt Holly Springs El Sch,1686
115211103,North Dickinson El Sch,1687
115211103,Wilson MS,7010
103021603,Carlynton JSHS,79
103021603,Carnegie El Sch,77
103021603,Crafton El Sch,78
101301303,Carmichaels Area El Ctr,7315
101301303,Carmichaels Area HS,7112
101301303,Carmichaels Area MS,8345
102024758,Catalyst Academy CS,8472
121391303,Catasauqua MS,2797
121391303,Catasauqua SHS,2798
121391303,Francis H Sheckler El Sch,6593
122092002,Davis El Sch,8222
122092002,Klinger MS,7271
122092002,Log College MS,7274
122092002,McDonald El Sch,5007
122092002,William Tennent HS,1040
122092002,Willow Dale El Sch,8200
122090001,Center for Student Lrng CS Pennsbury,7726
122092102,Barclay El Sch,4683
122092102,Bridge Valley El Sch,7796
122092102,Buckingham El Sch,1044
122092102,Butler El Sch,1081
122092102,Central Bucks HS-East,5133
122092102,Central Bucks HS-South,7790
122092102,Central Bucks HS-West,1043
122092102,Cold Spring El Sch,7435
122092102,Doyle El Sch,4852
122092102,Gayman El Sch,1048
122092102,Groveland El Sch,7653
122092102,Holicong MS,5307
122092102,Jamison El Sch,7520
122092102,Kutz El Sch,1047
122092102,Lenape MS,1041
122092102,Linden El Sch,1057
122092102,Mill Creek El Sch,7654
122092102,Pine Run El Sch,5306
122092102,Tamanend MS,1042
122092102,Titus El Sch,1131
122092102,Tohickon MS,7715
122092102,Unami MS,4678
122092102,Warwick El Sch,1132
108111303,Cambria El Sch,6646
108111303,Central Cambria HS,1208
108111303,Central Cambria MS,1202
108111303,Jackson El Sch,1205
116191503,Central Columbia El Sch,7201
116191503,Central Columbia MS,5390
116191503,Central Columbia SHS,1619
115221402,Central Dauphin East MS,1744
115221402,Central Dauphin East SHS,1746
115221402,Central Dauphin MS,7820
115221402,Central Dauphin SHS,1745
115221402,Chambers Hill El Sch,1812
115221402,Lawnton El Sch,7306
115221402,Linglestown El Sch,1777
115221402,Linglestown MS,6783
115221402,Middle Paxton El Sch,1791
115221402,Mountain View El Sch,1782
115221402,North Side El Sch,1781
115221402,Paxtang El Sch,1795
115221402,Paxtonia El Sch,1778
115221402,Phillips El Sch,1779
115221402,Rutherford El Sch,1811
115221402,South Side El Sch,1780
115221402,Swatara MS,1742
115221402,Tri-Community El Sch,5320
115221402,West Hanover El Sch,1817
111291304,McConnellsburg El Sch,2248
111291304,McConnellsburg HS,6252
111291304,McConnellsburg MS,7734
101301403,Miller MS,6010
101301403,Waynesburg Central El School,7476
101301403,Waynesburg Central HS,5118
110000000,Central IU 10,0
123460957,Central Montco Technical High School,4967
108070001,Central PA Digital Lrng Foundation CS,7720
110141607,Central PA Institute of Science & Techno,5094
116000000,Central Susquehanna IU 16,0
127042003,Center Grange Primary School,8045
127042003,Central Valley HS,8044
127042003,Central Valley MS,8043
127042003,Todd Lane El Sch,8046
107651207,Central Westmoreland CTC,6172
112671303,Central York HS,4545
112671303,Central York MS,4544
112671303,Hayshire El Sch,4537
112671303,North Hills El Sch,4540
112671303,Roundtown El Sch,4539
112671303,Sinking Springs El Sch,7696
112671303,Stony Brook El Sch,5088
110143060,Centre Learning Community CS,7552
112281302,Benjamin Chambers El Sch,8047
112281302,Buchanan El Sch,2192
112281302,Chambersburg Area Career Magnet Sch,8244
112281302,Chambersburg Area MS - North,2190
112281302,Chambersburg Area MS - South,6615
112281302,Chambersburg Area SHS,2191
112281302,Falling Spring El Sch,4825
112281302,Fayetteville El Sch,6273
112281302,Grandview El Sch,2208
