school_number,school_name,high_school,middle_school,elementary_school
7691,21st Century Cyber CS,1,0,0
5273,A W Beattie Career Center,1,0,0
5091,Abington Heights HS,1,0,0
6839,Abington Heights MS,0,1,0
7570,Clarks Summit El Sch,0,0,1
2407,Newton-Ransom Sch,0,0,1
6398,South Abington Sch,0,0,1
2402,Waverly Sch,0,0,1
3242,Abington MS,0,1,0
3241,Abington SHS,1,0,0
7707,Copper Beech Sch,0,0,1
3229,Highland Sch,0,0,1
5075,McKinley Sch,0,0,1
3232,Overlook Sch,0,0,1
3234,Roslyn Sch,0,0,1
3226,Rydal El Sch,0,0,1
4910,Willow Hill Sch,0,0,1
7824,Achievement House CS,1,0,0
7825,Ad Prima CS,1,0,0
8471,Adams County Technical Institute,0,0,1
6661,Admiral Peary AVTS,0,0,1
7858,Agora Cyber CS,1,0,0
8364,A L Wilson El Sch,0,0,1
6001,Albert Gallatin Area SHS,1,0,0
7607,Albert Gallatin North MS,0,1,0
7608,Albert Gallatin South MS,0,1,0
4922,Friendship Hill El Sch,0,0,1
2129,George J Plava El Sch,0,0,1
6002,Masontown El Sch,0,0,1
4921,Smithfield El Sch,0,0,1
8085,Aliquippa El Sch,0,0,1
8086,Aliquippa JSHS,1,0,0
0,Allegheny IU 3,0,0,1
5296,Acmetonia El Sch,0,0,1
29,Springdale JSHS,1,0,0
7467,Allegheny-Clarion Valley Elem,0,0,1
4664,Allegheny-Clarion Valley HS,1,0,0
8484,Brigadier General Anna Mae Hays El Sch,0,0,1
8412,Building 21 Allentown,0,0,1
2790,Central El Sch,0,0,1
2792,Francis D Raub MS,0,1,0
2791,Harrison-Morton MS,0,1,0
2768,Hiram W Dodd El Sch,0,0,1
8413,Jackson Early Childhood Center,1,0,0
2774,Jefferson El Sch,0,0,1
2775,Lehigh Parkway El Sch,0,0,1
2795,Louis E Dieruff HS,1,0,0
8140,Luis A. Ramos El Sch,0,0,1
2779,Mosser El Sch,0,0,1
2780,Muhlenberg El Sch,0,0,1
2781,Ritter El Sch,0,0,1
2782,Roosevelt El Sch,0,0,1
6448,Sheridan El Sch,0,0,1
2793,South Mountain MS,0,1,0
4929,Trexler MS,0,1,0
2785,Union Terrace El Sch,0,0,1
2786,Washington El Sch,0,0,1
2794,William Allen HS,1,0,0
7543,Alliance for Progress CS,1,0,0
913,Altoona Area HS,1,0,0
7986,Altoona Area Jr HS,1,0,0
891,Baker El Sch,0,0,1
908,Irving El Sch,0,0,1
895,Juniata El Sch,0,0,1
930,Juniata Gap El Sch,0,0,1
7425,Kimmel Alternative School,0,0,1
933,Logan El Sch,0,0,1
7199,Mowrie A Ebner El Sch,0,0,1
8280,Penn-Lincoln El Sch,0,0,1
902,Pleasant Valley El Sch,0,0,1
6555,Ambridge Area HS,1,0,0
633,Ambridge Area MS,0,1,0
629,Economy El Sch,0,0,1
661,Highland El Sch,0,0,1
632,State Street El Sch,0,0,1
2725,Annville Cleona HS,1,0,0
2724,Annville El Sch,0,0,1
