school_number,high_school,middle_school,elementary_school
7691,1,0,0
5273,1,0,0
5091,1,0,0
6839,0,1,0
7570,0,0,1
2407,0,0,1
6398,0,0,1
2402,0,0,1
3242,0,1,0
3241,1,0,0
7707,0,0,1
3229,0,0,1
5075,0,0,1
3232,0,0,1
3234,0,0,1
3226,0,0,1
4910,0,0,1
7824,1,0,0
7825,1,0,0
8471,0,0,1
6661,0,0,1
7858,1,0,0
8364,0,0,1
6001,1,0,0
7607,0,1,0
7608,0,1,0
4922,0,0,1
2129,0,0,1
6002,0,0,1
4921,0,0,1
8085,0,0,1
8086,1,0,0
0,0,0,1
5296,0,0,1
29,1,0,0
7467,0,0,1
4664,1,0,0
8484,0,0,1
8412,0,0,1
2790,0,0,1
2792,0,1,0
2791,0,1,0
2768,0,0,1
8413,1,0,0
2774,0,0,1
2775,0,0,1
2795,1,0,0
8140,0,0,1
2779,0,0,1
2780,0,0,1
2781,0,0,1
2782,0,0,1
6448,0,0,1
2793,0,1,0
4929,0,1,0
2785,0,0,1
2786,0,0,1
2794,1,0,0
7543,1,0,0
913,1,0,0
7986,1,0,0
891,0,0,1
908,0,0,1
895,0,0,1
930,0,0,1
7425,0,0,1
933,0,0,1
7199,0,0,1
8280,0,0,1
902,0,0,1
6555,1,0,0
633,0,1,0
629,0,0,1
661,0,0,1
632,0,0,1
2725,1,0,0
2724,0,0,1
8178,0,1,0
2723,0,0,1
820,1,1,0
5205,0,0,1
8482,0,0,1
8031,1,0,0
7787,0,0,1
2320,1,0,0
6570,0,1,0
0,0,0,1
0,0,0,1
8342,1,0,0
569,0,0,1
6574,0,0,1
5002,0,0,1
6577,0,0,1
7896,0,0,1
7895,0,0,1
7640,1,0,0
8214,1,0,0
8336,1,0,0
8148,1,0,0
958,1,0,0
4918,0,0,1
8220,0,1,0
8219,0,0,1
6221,0,0,1
6222,1,0,0
4165,1,0,0
7098,1,0,0
7721,1,0,0
1367,1,0,0
1365,0,0,1
5216,0,1,0
7323,0,0,1
34,0,0,1
5199,1,0,0
7669,0,1,0
8320,1,0,0
8211,1,0,0
1335,1,0,0
1333,0,0,1
1334,0,0,1
1331,0,0,1
1330,0,0,1
50,1,0,0
6787,0,0,1
37,0,0,1
48,0,0,1
3434,1,0,0
5257,0,1,0
8450,0,0,1
8449,0,0,1
3430,0,0,1
7827,1,0,0
7386,0,1,0
640,1,0,0
8065,0,0,1
7823,0,0,1
6985,0,0,1
0,0,0,1
7545,0,0,1
7021,0,1,0
726,1,0,0
7096,1,0,0
4930,1,0,0
8269,0,1,0
4328,0,0,1
4325,0,0,1
1343,1,0,0
1342,0,1,0
1341,0,0,1
1339,0,0,1
1340,0,0,1
6229,0,0,1
7144,0,1,0
917,1,0,0
914,0,0,1
7750,1,0,0
5211,0,0,1
4675,0,0,1
5116,1,0,0
6451,0,1,0
1006,0,0,1
7030,0,1,0
6896,0,0,1
1008,0,0,1
6788,0,0,1
1594,0,0,1
8434,1,0,0
8433,0,1,0
7987,0,0,1
7988,0,1,0
4188,1,0,0
0,0,0,1
6304,0,0,1
7068,0,0,1
6206,0,0,1
7645,0,1,0
6207,1,0,0
7302,0,0,1
3,1,0,0
6921,0,1,0
1605,1,0,0
6808,0,1,0
6349,0,0,1
1597,0,0,1
8378,0,0,1
4802,0,0,1
7326,0,0,1
55,0,0,1
62,1,0,0
4902,0,0,1
61,0,1,0
7327,0,1,0
60,0,0,1
5063,0,0,1
3464,0,1,0
3436,0,0,1
3453,0,0,1
6722,0,0,1
4956,0,1,0
3456,0,0,1
6723,0,0,1
4957,1,0,0
3458,0,0,1
3449,0,0,1
3459,0,0,1
3442,0,0,1
3465,1,0,0
3443,0,0,1
3454,0,0,1
3455,0,0,1
3463,0,1,0
3462,0,1,0
3452,0,0,1
6633,0,0,1
6634,0,0,1
5286,0,0,1
6975,1,0,0
5267,1,1,0
4181,1,0,0
649,1,0,0
648,0,1,0
650,0,0,1
642,0,0,1
1677,1,0,0
6326,0,1,0
7951,0,0,1
1676,0,0,1
7355,0,0,1
6707,1,0,0
8476,0,0,1
6558,0,1,0
6560,0,0,1
6828,0,0,1
5135,1,0,0
0,0,0,1
1610,0,0,1
1612,1,0,0
1611,0,1,0
1606,0,0,1
1608,0,0,1
4659,0,0,1
3891,1,0,0
5263,0,1,0
8505,0,0,1
6891,0,0,1
4034,1,0,0
7400,0,1,0
8145,1,0,0
6804,0,1,0
6305,0,1,0
6306,1,0,0
6307,0,0,1
762,0,0,1
763,0,0,1
754,0,0,1
755,0,0,1
766,0,0,1
7981,1,0,0
4691,1,0,0
3092,0,1,0
7037,0,0,1
7281,0,0,1
768,0,0,1
6308,1,0,0
8383,0,1,0
7342,0,1,0
70,1,0,0
69,0,0,1
68,0,0,1
1014,1,0,0
7743,0,1,0
1013,0,0,1
1027,0,1,0
8368,0,0,1
8369,0,0,1
8367,0,0,1
8407,0,1,0
1029,1,0,0
5148,0,0,1
2362,1,0,0
6162,1,0,0
5231,0,0,1
6163,0,0,1
2368,0,0,1
8384,0,0,1
4818,1,0,0
2154,0,1,0
0,0,0,1
7670,1,0,0
1030,0,0,1
7477,0,0,1
4195,1,1,0
4333,0,0,1
4340,1,0,0
4339,0,1,0
4336,0,0,1
8494,0,0,1
6690,1,0,0
8344,1,0,0
1148,1,0,0
1150,0,0,1
1134,0,0,1
1138,0,0,1
1142,0,0,1
1184,0,0,1
6999,0,0,1
8497,1,0,0
7221,0,0,1
6939,0,1,0
4203,1,0,0
7347,0,0,1
1199,0,1,0
5212,1,0,0
1299,1,0,0
1298,0,0,1
7509,0,1,0
1682,1,0,0
1678,0,0,1
1680,0,0,1
4211,0,0,1
4217,1,0,0
7217,0,1,0
7216,0,0,1
4938,0,0,1
8397,0,0,1
7764,0,0,1
4937,0,0,1
4214,0,0,1
5303,0,0,1
988,1,0,0
0,0,0,1
8278,1,0,0
4870,0,0,1
2420,1,0,0
7457,0,0,1
0,0,0,1
5109,0,0,1
1692,0,0,1
1694,1,0,0
1689,0,0,1
1691,0,0,1
7011,0,1,0
1683,0,0,1
1690,0,0,1
1686,0,0,1
1687,0,0,1
7010,0,1,0
79,1,0,0
77,0,0,1
78,0,0,1
7315,0,0,1
7112,1,0,0
8345,0,1,0
8472,1,0,0
2797,0,1,0
2798,1,0,0
6593,0,0,1
8222,0,0,1
7271,0,1,0
7274,0,1,0
5007,0,0,1
1040,1,0,0
8200,0,0,1
7726,1,0,0
4683,0,0,1
7796,0,0,1
1044,0,0,1
1081,0,0,1
5133,1,0,0
7790,1,0,0
1043,1,0,0
7435,0,0,1
4852,0,0,1
1048,0,0,1
7653,0,0,1
5307,0,1,0
7520,0,0,1
1047,0,0,1
1041,0,1,0
1057,0,0,1
7654,0,0,1
5306,0,0,1
1042,0,1,0
1131,0,0,1
7715,0,1,0
4678,0,1,0
1132,0,0,1
6646,0,0,1
1208,1,0,0
1202,0,1,0
1205,0,0,1
7201,0,0,1
5390,0,1,0
1619,1,0,0
1744,0,1,0
1746,1,0,0
7820,0,1,0
1745,1,0,0
1812,0,0,1
7306,0,0,1
1777,0,0,1
6783,0,1,0
1791,0,0,1
1782,0,0,1
1781,0,0,1
1795,0,0,1
1778,0,0,1
1779,0,0,1
1811,0,0,1
1780,0,0,1
1742,0,1,0
5320,0,0,1
1817,0,0,1
2248,0,0,1
6252,1,0,0
7734,0,1,0
6010,0,1,0
7476,0,0,1
5118,1,0,0
0,0,0,1
4967,0,0,1
7720,1,0,0
5094,0,0,1
0,0,0,1
8045,1,0,0
8044,1,0,0
8043,0,1,0
8046,0,0,1
6172,0,0,1
4545,1,0,0
4544,0,1,0
4537,0,0,1
4540,0,0,1
4539,0,0,1
7696,0,0,1
5088,0,0,1
7552,1,0,0
8047,0,0,1
2192,0,0,1
8244,0,0,1
