county_n,d_id,d_name
ADAMS,112011103,BERMUDIAN SPRINGS SD
ADAMS,112011603,CONEWAGO VALLEY SD
ADAMS,112013054,FAIRFIELD AREA SD
ADAMS,112013753,GETTYSBURG AREA SD
ADAMS,112015203,LITTLESTOWN AREA SD
ADAMS,112018523,UPPER ADAMS SD
ALLEGHENY,103020407,A W BEATTIE CAREER CENTER
ALLEGHENY,103020603,ALLEGHENY VALLEY SD
ALLEGHENY,103020753,AVONWORTH SD
ALLEGHENY,103021102,BALDWIN-WHITEHALL SD
ALLEGHENY,103021252,BETHEL PARK SD
ALLEGHENY,103021453,BRENTWOOD BOROUGH SD
ALLEGHENY,103021603,CARLYNTON SD
ALLEGHENY,103021752,CHARTIERS VALLEY SD
ALLEGHENY,102020001,CITY CHS
ALLEGHENY,103021903,CLAIRTON CITY SD
ALLEGHENY,103022103,CORNELL SD
ALLEGHENY,103022253,DEER LAKES SD
ALLEGHENY,103022803,EAST ALLEGHENY SD
ALLEGHENY,103023153,ELIZABETH FORWARD SD
ALLEGHENY,103023807,FORBES ROAD CTC
ALLEGHENY,103023912,FOX CHAPEL AREA SD
ALLEGHENY,103024102,GATEWAY SD
ALLEGHENY,103024603,HAMPTON TOWNSHIP SD
ALLEGHENY,103024753,HIGHLANDS SD
ALLEGHENY,103025002,KEYSTONE OAKS SD
ALLEGHENY,103026002,MCKEESPORT AREA SD
ALLEGHENY,103026303,MONTOUR SD
ALLEGHENY,103026343,MOON AREA SD
ALLEGHENY,103026402,MT LEBANON SD
ALLEGHENY,103026852,NORTH ALLEGHENY SD
ALLEGHENY,103026902,NORTH HILLS SD
ALLEGHENY,103026873,NORTHGATE SD
ALLEGHENY,103027307,PARKWAY WEST CTC
ALLEGHENY,102023217,PASSPORT ACADEMY CS
ALLEGHENY,103027352,PENN HILLS SD
ALLEGHENY,115220003,PENNSYLVANIA DISTANCE LEARNING CS
ALLEGHENY,103021003,PINE-RICHLAND SD
ALLEGHENY,102027451,PITTSBURGH SD
ALLEGHENY,103027503,PLUM BOROUGH SD
ALLEGHENY,160028259,PROPEL CS-BRADDOCK HILLS
ALLEGHENY,103020002,PROPEL CS-HOMESTEAD
ALLEGHENY,103020004,PROPEL CS-MONTOUR
ALLEGHENY,103027753,QUAKER VALLEY SD
ALLEGHENY,103028203,RIVERVIEW SD
ALLEGHENY,103028302,SHALER AREA SD
ALLEGHENY,103028653,SOUTH ALLEGHENY SD
ALLEGHENY,103028703,SOUTH FAYETTE TOWNSHIP SD
ALLEGHENY,103028753,SOUTH PARK SD
ALLEGHENY,103028807,STEEL CENTER FOR CAREER AND TECHNICAL EDUCATION
ALLEGHENY,103028833,STEEL VALLEY SD
ALLEGHENY,103028853,STO-ROX SD
ALLEGHENY,102020003,THE NEW ACADEMY CS
ALLEGHENY,103029203,UPPER SAINT CLAIR SD
ALLEGHENY,102023080,URBAN PATHWAYS 6-12 CS
ALLEGHENY,103029403,WEST ALLEGHENY SD
ALLEGHENY,103029553,WEST JEFFERSON HILLS SD
ALLEGHENY,103029603,WEST MIFFLIN AREA SD
ALLEGHENY,103028425,WESTINGHOUSE ARTS ACADEMY CS
ALLEGHENY,103029902,WOODLAND HILLS SD
ARMSTRONG,128030603,APOLLO-RIDGE SD
ARMSTRONG,128030852,ARMSTRONG SD
ARMSTRONG,128033053,FREEPORT AREA SD
ARMSTRONG,128034503,LEECHBURG AREA SD
ARMSTRONG,128034607,LENAPE TECH
BEAVER,127040503,ALIQUIPPA SD
BEAVER,127040703,AMBRIDGE AREA SD
BEAVER,127041203,BEAVER AREA SD
BEAVER,127041307,BEAVER COUNTY CTC
BEAVER,127041503,BIG BEAVER FALLS AREA SD
BEAVER,127041603,BLACKHAWK SD
BEAVER,127042003,CENTRAL VALLEY SD
BEAVER,127042853,FREEDOM AREA SD
BEAVER,127044103,HOPEWELL AREA SD
BEAVER,127040002,LINCOLN PARK PERFORMING ARTS CS
BEAVER,127045653,NEW BRIGHTON AREA SD
BEAVER,127043430,PENNSYLVANIA CYBER CS
BEAVER,127045853,RIVERSIDE BEAVER COUNTY SD
BEAVER,127046903,ROCHESTER AREA SD
BEAVER,127047404,SOUTH SIDE AREA SD
BEAVER,127049303,WESTERN BEAVER COUNTY SD
BEDFORD,108051003,BEDFORD AREA SD
BEDFORD,108051503,CHESTNUT RIDGE SD
BEDFORD,108053003,EVERETT AREA SD
BEDFORD,108056004,NORTHERN BEDFORD COUNTY SD
BEDFORD,108058003,TUSSEY MOUNTAIN SD
BERKS,114060503,ANTIETAM SD
BERKS,114060557,BERKS CTC
BERKS,114060753,BOYERTOWN AREA SD
BERKS,114060853,BRANDYWINE HEIGHTS AREA SD
BERKS,114061103,CONRAD WEISER AREA SD
BERKS,114061503,DANIEL BOONE AREA SD
BERKS,114062003,EXETER TOWNSHIP SD
BERKS,114062503,FLEETWOOD AREA SD
BERKS,114063003,GOVERNOR MIFFLIN SD
BERKS,114063503,HAMBURG AREA SD
BERKS,114064003,KUTZTOWN AREA SD
BERKS,114065503,MUHLENBERG SD
BERKS,114066503,OLEY VALLEY SD
BERKS,114067002,READING SD
BERKS,114067503,SCHUYLKILL VALLEY SD
BERKS,114068003,TULPEHOCKEN AREA SD
BERKS,114068103,TWIN VALLEY SD
BERKS,114069103,WILSON SD
BERKS,114069353,WYOMISSING AREA SD
BLAIR,108070502,ALTOONA AREA SD
BLAIR,108071003,BELLWOOD-ANTIS SD
BLAIR,108070001,CENTRAL PA DIGITAL LRNG FOUNDATION CS
BLAIR,108071504,CLAYSBURG-KIMMEL SD
BLAIR,108073503,HOLLIDAYSBURG AREA SD
BLAIR,108077503,SPRING COVE SD
BLAIR,108078003,TYRONE AREA SD
BLAIR,108079004,WILLIAMSBURG COMMUNITY SD
