school_number,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
8495,18.4,48.8,15.1,2022
8487,33.3,55.7,,2022
8481,50.9,,32.7,2021
8481,39.1,28.6,40,2022
8471,,,,2021
8459,33,,44.7,2021
8459,50,56.1,20.7,2022
8448,42.1,30.8,0,2021
8448,30.8,65.5,19.2,2022
8448,25,32.1,63.6,2019
8446,35.4,71.1,43.1,2019
8446,31.5,,43,2021
8446,25.6,62,,2022
8442,50,48.3,39.5,2019
8442,32.5,,0,2021
8442,0,61.1,22.6,2022
8440,1.6,,47.7,2021
8440,,22,10.3,2022
8436,74.3,65.7,52.9,2019
8436,68,,39.3,2021
8436,41.2,57.6,52.3,2022
8434,55.6,45.9,50,2019
8434,30.2,,,2021
8434,18.8,78.9,21.5,2022
8421,45.3,53.3,41.9,2018
8421,30.8,,,2021
8421,30.2,,,2022
8421,34.7,70.8,34.7,2019
8417,35.1,36,26.9,2018
8417,22.5,63.3,19.1,2019
8417,17.4,,43.6,2021
8417,5.9,57.4,24.8,2022
8415,9.5,6.5,7.1,2019
8415,20.7,,20.7,2021
8415,21.9,27.3,13.3,2018
8412,44.6,53.4,5.9,2019
8412,30.4,44.2,5.9,2018
8412,38.1,,30.2,2021
8412,,,33.2,2022
8403,37.5,66.3,38.5,2019
8403,45.5,65.1,33.3,2018
8403,8.3,30.5,14.3,2022
8401,57.9,51.2,31,2018
8401,37,,,2021
8401,44.6,75,35.3,2019
8394,36.9,63,37.5,2019
8394,19.1,,27.2,2021
8394,17.2,54.1,30.2,2022
8392,47.8,52.6,37.5,2018
8392,40,56,46.2,2019
8392,32.3,,56.7,2021
8392,30.8,38,,2022
8388,6.7,12.5,8.3,2018
8388,8.2,7.4,4.2,2017
8388,5.3,54.1,,2021
8388,4.2,6.5,7.8,2022
8388,14.8,29.2,2.6,2019
8386,0,0,,2018
8386,0,,16.7,2021
8386,,53.4,44.3,2022
8386,0,,,2017
8386,20.5,,0,2019
8385,13.9,,,2018
8385,,,,2017
8385,,,,2021
8385,,28.2,5.7,2022
8385,31.4,37.3,,2019
8382,43.3,70.4,46.3,2018
8382,56,80,52.2,2017
8382,50.4,65,49.2,2019
8382,52.1,,,2021
8382,33.3,,8.7,2022
8381,41.5,57.4,34.6,2018
8381,50,69.8,27.5,2017
8381,38.5,62.8,25,2019
8381,33.3,20.6,19.7,2021
8381,8.8,67.4,,2022
8379,42.3,67.3,35.6,2018
8379,29.8,58.4,35.5,2019
8379,38.8,,38,2021
8379,28.8,52.8,54.9,2022
8379,53.9,81.4,37.6,2017
8376,0,,,2018
8376,,,,2017
8376,0,75.8,0,2019
8376,,14.3,30.2,2021
8376,,38,35.1,2022
8371,30.4,32,24,2018
8371,5.7,28.6,9.1,2017
8371,2,,63.2,2021
8371,,33,42.6,2022
8371,20.8,66.9,12.2,2019
8366,27.3,56.1,37.5,2018
8366,28.7,62.5,25.1,2019
8366,22.3,70.4,25.7,2021
8366,10.8,57.6,,2022
8359,19,50,16.3,2018
8359,8.8,,,2021
8359,,11.4,19,2022
8359,24.5,68.3,26,2019
8358,62.2,34.2,21.6,2018
8358,38.2,46.8,29.7,2017
8358,7.6,,,2021
8358,0,39.2,34.9,2022
8358,24.1,57.6,36.8,2016
8358,34,31.3,20.2,2019
8348,18.3,43.7,21.4,2018
8348,35.2,50.6,32.2,2017
8348,34.8,67.2,39.1,2016
8348,24.7,58.9,41.1,2019
8348,26,,37.8,2021
8348,20.5,53.3,45.7,2022
8344,51.6,71.5,53.2,2018
8344,63.7,78.5,52.2,2017
8344,60,76.7,47.9,2016
8344,51,66.6,54.1,2019
8344,42.8,,38.9,2021
8344,41.6,58.5,,2022
8342,58.9,73.9,38.8,2018
8342,74.4,76.2,43.3,2017
8342,67.5,75.7,41.5,2016
8342,64.6,79.9,34.7,2019
8342,61.3,,,2021
8342,32,69.8,41.2,2022
8340,31.3,40.2,35.3,2018
8340,34,43,25.7,2017
8340,30.1,56.5,36.6,2016
8340,33,48.2,27.8,2019
8340,24.4,21.4,31.1,2021
8340,11,37,9.7,2022
8332,59.9,40.5,12.7,2018
8332,14,27.6,3.5,2017
8332,6.8,43.2,21,2021
8332,,,,2022
8332,1.7,76.6,0,2019
8331,50,27.5,6.5,2018
8331,6.9,15.7,1.4,2017
8331,3.4,,30.8,2021
8331,,16.7,,2022
8331,2.4,41.2,2.9,2019
8330,12.5,86.6,39.3,2018
8330,33,,62.5,2021
8330,32.1,28.2,7.2,2022
8330,37.2,69.6,39.2,2017
8330,29.3,80.5,41.9,2016
8330,32,14.3,33.6,2019
8329,7.5,30.5,7,2018
8329,13.2,11.4,2.8,2017
8329,5.3,,58.8,2021
8329,,25,,2022
8329,28.4,37,0,2019
8328,19.7,19,,2018
8328,7.7,30,,2017
8328,,,,2021
8328,3,78,,2022
8328,14.3,31,,2016
8325,16,57.6,16.4,2018
8325,15.5,,47.7,2021
8325,,33.8,29.5,2022
8325,46.1,58.5,21.7,2019
8323,28.8,,,2021
8323,61.8,,13.6,2022
8323,,43.4,19.4,2018
8323,59.5,30.9,25.7,2017
8323,57.3,47.2,33.7,2016
8323,47.9,31.3,34.7,2019
8318,51.6,72.7,53.9,2018
8318,47.1,68.7,45.8,2017
8318,57.8,69.4,50.2,2016
8318,46.3,64.3,54.9,2019
8318,37.8,,53.4,2021
8318,41.6,6.3,,2022
8316,50,81.3,50,2018
8316,55.6,88.9,72.2,2017
8316,44.4,50,33.3,2016
8316,36.4,59.6,36.4,2019
8316,25,33.3,41.7,2021
8316,16.7,,,2022
8314,,,,2019
8314,,56.9,39.6,2021
8314,,71.7,,2022
8314,21.4,28.6,15.4,2018
8314,,,,2017
8314,,,,2016
