school_number,number_of_students,number_of_low_income_students,year
7691,"1,235",213,2018
5273,779,294,2018
8217,76,35,2018
0,57,39,2018
8148,365,178,2018
5091,"1,031",198,2018
6839,"1,119",243,2018
7570,339,71,2018
2407,253,82,2018
6398,259,52,2018
2402,356,55,2018
3242,"1,960",508,2018
3241,"1,808",407,2018
7707,"1,156",273,2018
3229,500,135,2018
5075,754,176,2018
3232,587,201,2018
3234,511,135,2018
3226,636,87,2018
4910,425,165,2018
7824,494,329,2018
7825,634,278,2018
6661,531,361,2018
7858,"5,499","2,654",2018
8364,390,186,2018
6001,"1,052",511,2018
7607,388,180,2018
7608,385,192,2018
4922,220,124,2018
2129,330,187,2018
6002,236,164,2018
4921,312,153,2018
8085,591,589,2018
8086,419,418,2018
0,496,405,2018
5296,503,258,2018
29,414,207,2018
7467,359,177,2018
4664,302,114,2018
8412,480,370,2018
2790,754,561,2018
7102,292,262,2018
2792,918,839,2018
2791,838,694,2018
2768,684,470,2018
8413,270,161,2018
2774,562,414,2018
2775,348,232,2018
2795,"1,907","1,335",2018
8140,770,653,2018
2777,255,228,2018
2779,578,439,2018
2780,474,313,2018
2781,601,432,2018
2782,711,610,2018
6448,624,610,2018
2793,"1,136",972,2018
4929,841,718,2018
2785,734,573,2018
2786,439,353,2018
2794,"2,605","1,680",2018
7543,529,291,2018
913,"1,678",948,2018
7986,"1,744","1,078",2018
891,320,158,2018
908,352,124,2018
895,599,481,2018
930,690,417,2018
7425,27,26,2018
933,525,324,2018
7199,605,445,2018
8280,392,354,2018
902,585,423,2018
6555,764,377,2018
633,567,293,2018
629,435,158,2018
661,350,257,2018
632,266,160,2018
2725,455,155,2018
2724,444,167,2018
8178,242,82,2018
2723,303,112,2018
820,493,256,2018
5205,476,301,2018
7838,172,104,2018
8031,715,436,2018
7787,525,304,2018
2320,363,178,2018
6570,265,137,2018
0,181,70,2018
8342,"1,628",800,2018
569,218,110,2018
6574,249,74,2018
5002,786,345,2018
6577,349,163,2018
7896,535,286,2018
7895,688,270,2018
7640,613,272,2018
8214,358,187,2018
8336,423,339,2018
958,629,281,2018
4918,539,250,2018
8220,506,274,2018
8219,365,188,2018
6221,109,58,2018
6222,85,45,2018
4165,258,77,2018
7098,260,97,2018
7721,"1,846",527,2018
1367,"1,727",478,2018
1365,"1,488",438,2018
5216,833,252,2018
7323,905,273,2018
34,573,82,2018
5199,495,54,2018
7669,271,37,2018
8320,452,42,2018
0,350,194,2018
8211,574,243,2018
1335,898,373,2018
1333,90,45,2018
1334,125,39,2018
1331,107,42,2018
1330,356,164,2018
50,"1,453",555,2018
6787,937,405,2018
37,435,162,2018
5194,799,414,2018
48,740,294,2018
3434,995,376,2018
5257,697,297,2018
8450,534,208,2018
8449,193,78,2018
3430,554,275,2018
7827,466,175,2018
7386,318,66,2018
640,685,151,2018
8065,421,91,2018
7823,581,141,2018
6985,618,299,2018
0,149,87,2018
7545,751,309,2018
7021,457,195,2018
726,572,195,2018
7096,362,228,2018
4930,777,310,2018
8269,370,147,2018
4328,661,373,2018
4325,610,213,2018
1343,869,253,2018
1342,638,179,2018
1341,334,160,2018
1339,227,47,2018
1340,358,56,2018
6229,210,81,2018
7144,408,169,2018
917,386,136,2018
914,478,176,2018
7750,808,743,2018
5211,585,216,2018
4675,466,367,2018
5116,"2,003","1,125",2018
6451,442,208,2018
1006,534,341,2018
7030,585,362,2018
6896,516,217,2018
1008,642,532,2018
6788,701,320,2018
1594,361,162,2018
8434,179,79,2018
8433,102,34,2018
7987,403,199,2018
7988,381,190,2018
4188,354,146,2018
6304,825,305,2018
7068,779,294,2018
0,156,89,2018
6206,283,106,2018
7645,201,82,2018
6207,232,97,2018
7302,693,324,2018
