aun,school_name,school_number,high_school,middle_school,elementary_school
124150002,21st Century Cyber CS,7691,1,0,0
103020407,A W Beattie Career Center,5273,1,0,0
119350303,Abington Heights HS,5091,1,0,0
119350303,Abington Heights MS,6839,0,1,0
119350303,Clarks Summit El Sch,7570,0,0,1
119350303,Newton-Ransom Sch,2407,0,0,1
119350303,South Abington Sch,6398,0,0,1
119350303,Waverly Sch,2402,0,0,1
123460302,Abington MS,3242,0,1,0
123460302,Abington SHS,3241,1,0,0
123460302,Copper Beech Sch,7707,0,0,1
123460302,Highland Sch,3229,0,0,1
123460302,McKinley Sch,5075,0,0,1
123460302,Overlook Sch,3232,0,0,1
123460302,Roslyn Sch,3234,0,0,1
123460302,Rydal El Sch,3226,0,0,1
123460302,Willow Hill Sch,4910,0,0,1
125230001,Achievement House CS,7824,1,0,0
126510015,Ad Prima CS,7825,1,0,0
112015106,Adams County Technical Institute,8471,0,0,1
108110307,Admiral Peary AVTS,6661,0,0,1
126510020,Agora Cyber CS,7858,1,0,0
101260303,A L Wilson El Sch,8364,0,0,1
101260303,Albert Gallatin Area SHS,6001,1,0,0
101260303,Albert Gallatin North MS,7607,0,1,0
101260303,Albert Gallatin South MS,7608,0,1,0
101260303,Friendship Hill El Sch,4922,0,0,1
101260303,George J Plava El Sch,2129,0,0,1
101260303,Masontown El Sch,6002,0,0,1
101260303,Smithfield El Sch,4921,0,0,1
127040503,Aliquippa El Sch,8085,0,0,1
127040503,Aliquippa JSHS,8086,1,0,0
103000000,Allegheny IU 3,0,0,0,1
103020603,Acmetonia El Sch,5296,0,0,1
103020603,Springdale JSHS,29,1,0,0
106160303,Allegheny-Clarion Valley Elem,7467,0,0,1
106160303,Allegheny-Clarion Valley HS,4664,1,0,0
121390302,Brigadier General Anna Mae Hays El Sch,8484,0,0,1
121390302,Building 21 Allentown,8412,0,0,1
121390302,Central El Sch,2790,0,0,1
121390302,Francis D Raub MS,2792,0,1,0
121390302,Harrison-Morton MS,2791,0,1,0
121390302,Hiram W Dodd El Sch,2768,0,0,1
121390302,Jackson Early Childhood Center,8413,1,0,0
121390302,Jefferson El Sch,2774,0,0,1
121390302,Lehigh Parkway El Sch,2775,0,0,1
121390302,Louis E Dieruff HS,2795,1,0,0
121390302,Luis A. Ramos El Sch,8140,0,0,1
121390302,Mosser El Sch,2779,0,0,1
121390302,Muhlenberg El Sch,2780,0,0,1
121390302,Ritter El Sch,2781,0,0,1
121390302,Roosevelt El Sch,2782,0,0,1
121390302,Sheridan El Sch,6448,0,0,1
121390302,South Mountain MS,2793,0,1,0
121390302,Trexler MS,4929,0,1,0
121390302,Union Terrace El Sch,2785,0,0,1
121390302,Washington El Sch,2786,0,0,1
121390302,William Allen HS,2794,1,0,0
126512990,Alliance for Progress CS,7543,1,0,0
108070502,Altoona Area HS,913,1,0,0
108070502,Altoona Area Jr HS,7986,1,0,0
108070502,Baker El Sch,891,0,0,1
108070502,Irving El Sch,908,0,0,1
108070502,Juniata El Sch,895,0,0,1
108070502,Juniata Gap El Sch,930,0,0,1
108070502,Kimmel Alternative School,7425,0,0,1
108070502,Logan El Sch,933,0,0,1
108070502,Mowrie A Ebner El Sch,7199,0,0,1
108070502,Penn-Lincoln El Sch,8280,0,0,1
108070502,Pleasant Valley El Sch,902,0,0,1
127040703,Ambridge Area HS,6555,1,0,0
127040703,Ambridge Area MS,633,0,1,0
127040703,Economy El Sch,629,0,0,1
127040703,Highland El Sch,661,0,0,1
127040703,State Street El Sch,632,0,0,1
113380303,Annville Cleona HS,2725,1,0,0
113380303,Annville El Sch,2724,0,0,1
113380303,Annville-Cleona MS,8178,0,1,0
113380303,Cleona El Sch,2723,0,0,1
114060503,Antietam MS/HS,820,1,1,0
114060503,Mt Penn El Sch,5205,0,0,1
114060503,Mt Penn Primary Ctr,8482,0,0,1
104510394,Antonia Pantoja Community CS,8031,1,0,0
128030603,Apollo-Ridge Elem Sch,7787,0,0,1
128030603,Apollo-Ridge HS,2320,1,0,0
128030603,Apollo-Ridge MS,6570,0,1,0
108000000,Appalachia IU 8,0,0,0,1
128000000,ARIN IU 28,0,0,0,1
128030852,Armstrong JSHS,8342,1,0,0
128030852,Dayton El Sch,569,0,0,1
128030852,Elderton El Sch,6574,0,0,1
128030852,Lenape El Sch,5002,0,0,1
128030852,Shannock Valley El Sch,6577,0,0,1
128030852,West Hills Intermediate Sch,7896,0,0,1
128030852,West Hills Primary Sch,7895,0,0,1
128030852,West Shamokin JSHS,7640,1,0,0
121395927,Arts Academy CS,8214,1,0,0
121399898,Arts Academy Elementary CS,8336,1,0,0
181519176,ASPIRA Bilingual Cyber CS,8148,1,0,0
117080503,Athens Area HS,958,1,0,0
117080503,Audrielle Lynch-Ellen Bustin El Sch,4918,0,0,1
117080503,Harlan Rowe MS,8220,0,1,0
117080503,SRU El Sch,8219,0,0,1
109530304,Austin Area El Sch,6221,0,0,1
109530304,Austin Area JSHS,6222,1,0,0
101630504,Avella Area JSHS,4165,1,0,0
101630504,Avella El Center,7098,1,0,0
124150003,Avon Grove CS,7721,1,0,0
124150503,Avon Grove HS,1367,1,0,0
124150503,Avon Grove Intrmd Sch,1365,0,0,1
124150503,Fred S Engle MS,5216,0,1,0
124150503,Penn London El Sch,7323,0,0,1
103020753,Avonworth El Sch,34,0,0,1
103020753,Avonworth HS,5199,1,0,0
103020753,Avonworth MS,7669,0,1,0
103020753,Avonworth Primary Center,8320,1,0,0
127046517,Baden Academy CS,8211,1,0,0
110141003,Bald Eagle Area JSHS,1335,1,0,0
110141003,Howard El Sch,1333,0,0,1
110141003,Mountaintop Area El Sch,1334,0,0,1
110141003,Port Matilda El Sch,1331,0,0,1
110141003,Wingate El Sch,1330,0,0,1
103021102,Baldwin SHS,50,1,0,0
103021102,J.E. Harrison Education Ctr,6787,0,0,1
103021102,McAnnulty El Sch,37,0,0,1
103021102,Whitehall El Sch,48,0,0,1
120480803,Bangor Area HS,3434,1,0,0
120480803,Bangor Area MS,5257,0,1,0
120480803,DeFranco El Sch,8450,0,0,1
120480803,Five Points El Sch,8449,0,0,1
120480803,Washington El Sch,3430,0,0,1
118400001,Bear Creek Community CS,7827,1,0,0
127041203,Beaver Area MS,7386,0,1,0
127041203,Beaver Area SHS,640,1,0,0
127041203,College Square El Sch,8065,0,0,1
127041203,Dutch Ridge El Sch,7823,0,0,1
127041307,Beaver County CTC,6985,0,0,1
127000000,Beaver Valley IU 27,0,0,0,1
108051003,Bedford El Sch,7545,0,0,1
108051003,Bedford MS,7021,0,1,0
108051003,Bedford SHS,726,1,0,0
108051307,Bedford County Technical Center,7096,1,0,0
107650603,Belle Vernon Area HS,4930,1,0,0
107650603,Belle Vernon Area MS,8269,0,1,0
107650603,Marion El Sch,4328,0,0,1
107650603,Rostraver El Sch,4325,0,0,1
110141103,Bellefonte Area HS,1343,1,0,0
110141103,Bellefonte Area MS,1342,0,1,0
110141103,Bellefonte El Sch,1341,0,0,1
110141103,Benner El Sch,1339,0,0,1
110141103,Marion-Walker El Sch,1340,0,0,1
110141103,Pleasant Gap El Sch,6229,0,0,1
108071003,Bellwood Antis MS,7144,0,1,0
108071003,Bellwood-Antis HS,917,1,0,0
108071003,Lewis M Myers El Sch,914,0,0,1
126510010,Belmont CS,7750,1,0,0
122091002,Belmont Hills El Sch,5211,0,0,1
122091002,Benjamin Rush El Sch,4675,0,0,1
122091002,Bensalem Twp HS,5116,1,0,0
122091002,Cecelia Snyder MS,6451,0,1,0
122091002,Cornwells El Sch,1006,0,0,1
122091002,Robert K Shafer MS,7030,0,1,0
122091002,Russell C Struble El Sch,6896,0,0,1
122091002,Samuel K Faust El Sch,1008,0,0,1
122091002,Valley El Sch,6788,0,0,1
116191004,Appleman El Sch,1594,0,0,1
116191004,Benton Area HS,8434,1,0,0
116191004,Benton Area MS,8433,0,1,0
101630903,Bentworth El Ctr,7987,0,0,1
101630903,Bentworth MS,7988,0,1,0
101630903,Bentworth SHS,4188,1,0,0
114000000,Berks County IU 14,0,0,0,1
114060557,Berks CTC-East Campus,6304,0,0,1
114060557,Berks CTC-West Campus,7068,0,0,1
108561003,Berlin Brothersvalley El Sch,6206,0,0,1
108561003,Berlin Brothersvalley MS,7645,0,1,0
108561003,Berlin Brothersvalley SHS,6207,1,0,0
112011103,Bermudian Springs El Sch,7302,0,0,1
112011103,Bermudian Springs HS,3,1,0,0
112011103,Bermudian Springs MS,6921,0,1,0
116191103,Berwick Area HS,1605,1,0,0
116191103,Berwick Area MS,6808,0,1,0
116191103,Nescopeck El Sch,6349,0,0,1
116191103,Salem El Sch,1597,0,0,1
116191103,West Berwick El Sch,8378,0,0,1
103021252,Abraham Lincoln El Sch,4802,0,0,1
103021252,Benjamin Franklin El Sch,7326,0,0,1
103021252,Bethel Memorial El Sch,55,0,0,1
103021252,Bethel Park HS,62,1,0,0
103021252,George Washington El Sch,4902,0,0,1
103021252,Independence MS,61,0,1,0
103021252,Neil Armstrong 5-6 MS,7327,0,1,0
103021252,William Penn El Sch,60,0,0,1
120481002,Asa Packer El Sch,5063,0,0,1
120481002,Broughal MS,3464,0,1,0
120481002,Calypso El Sch,3436,0,0,1
120481002,Clearview El Sch,3453,0,0,1
120481002,Donegan El Sch,6722,0,0,1
120481002,East Hills MS,4956,0,1,0
120481002,Farmersville El Sch,3456,0,0,1
120481002,Fountain Hill El Sch,6723,0,0,1
120481002,Freedom HS,4957,1,0,0
120481002,Freemansburg El Sch,3458,0,0,1
120481002,Governor Wolf El Sch,3449,0,0,1
120481002,Hanover El Sch,3459,0,0,1
120481002,James Buchanan El Sch,3442,0,0,1
120481002,Liberty HS,3465,1,0,0
120481002,Lincoln El Sch,3443,0,0,1
120481002,Marvine El Sch,3454,0,0,1
120481002,Miller Heights El Sch,3455,0,0,1
120481002,Nitschmann MS,3463,0,1,0
120481002,Northeast MS,3462,0,1,0
120481002,Spring Garden El Sch,3452,0,0,1
120481002,Thomas Jefferson El Sch,6633,0,0,1
120481002,William Penn El Sch,6634,0,0,1
120481107,Bethlehem AVTS,5286,0,0,1
101631003,Bethlehem-Center El Sch,6975,1,0,0
101631003,Bethlehem-Center MS,5267,1,1,0
101631003,Bethlehem-Center SHS,4181,1,0,0
127041503,Beaver Falls Area SHS,649,1,0,0
127041503,Beaver Falls MS,648,0,1,0
127041503,Big Beaver El Sch,650,0,0,1
127041503,Central El Sch,642,0,0,1
115210503,Big Spring HS,1677,1,0,0
115210503,Big Spring MS,6326,0,1,0
115210503,Mount Rock Elem Sch,7951,0,0,1
115210503,Newville El Sch,1676,0,0,1
115210503,Oak Flat El Sch,7355,0,0,1
127041603,Blackhawk HS,6707,1,0,0
127041603,Blackhawk Intermediate Sch,8476,0,0,1
127041603,Highland MS,6558,0,1,0
127041603,Patterson Primary Sch,6560,0,0,1
108110603,Blacklick Valley El Ctr,6828,0,0,1
108110603,Blacklick Valley JSHS,5135,1,0,0
117000000,BLaST IU 17,0,0,0,1
116191203,Beaver-Main El Sch,1610,0,0,1
116191203,Bloomsburg Area HS,1612,1,0,0
116191203,Bloomsburg Area MS,1611,0,1,0
116191203,Memorial El Sch,1606,0,0,1
116191203,W W Evans Memorial El Sch,1608,0,0,1
129540803,Blue Mountain El East Sch,4659,0,0,1
129540803,Blue Mountain HS,3891,1,0,0
129540803,Blue Mountain MS,5263,0,1,0
129540803,Elementary West,8505,0,0,1
119581003,Blue Ridge El Sch,6891,0,0,1
119581003,Blue Ridge HS,4034,1,0,0
119581003,Blue Ridge MS,7400,0,1,0
168513758,Bluford CS,8145,1,0,0
114060753,Boyertown Area MS-East,6804,0,1,0
114060753,Boyertown Area MS-West,6305,0,1,0
114060753,Boyertown Area SHS,6306,1,0,0
114060753,Boyertown El Sch,6307,0,0,1
114060753,Colebrookdale El Sch,762,0,0,1
114060753,Earl El Sch,763,0,0,1
114060753,Gilbertsville El Sch,754,0,0,1
114060753,New Hanover-Upper Frederick El,755,0,0,1
114060753,Washington El Sch,766,0,0,1
185515523,Boys Latin of Philadelphia CS,7981,1,0,0
109420803,Bradford Area HS,4691,1,0,0
109420803,Floyd C Fretz MS,3092,0,1,0
109420803,George Blaisdell El Sch,7037,0,0,1
109420803,School Street El Sch,7281,0,0,1
114060853,Brandywine Heights El Sch,768,0,0,1
114060853,Brandywine Heights HS,6308,1,0,0
114060853,Brandywine Heights Intrmd/MS,8383,0,1,0
103021453,Brentwood MS,7342,0,1,0
103021453,Brentwood SHS,70,1,0,0
103021453,Elroy Avenue El Sch,69,0,0,1
103021453,Moore Sch,68,0,0,1
122091303,Bristol HS,1014,1,0,0
122091303,Bristol MS,7743,0,1,0
122091303,Warren Snyder-John Girotti El Sch,1013,0,0,1
122091352,Benjamin Franklin MS,1027,0,1,0
122091352,Brookwood El Sch,8368,0,0,1
122091352,Keystone El Sch,8369,0,0,1
122091352,Mill Creek El Sch,8367,0,0,1
122091352,Neil A Armstrong MS,8407,0,1,0
122091352,Truman SHS,1029,1,0,0
106330703,Brockway Area Elementary Sch,5148,0,0,1
106330703,Brockway Area JSHS,2362,1,0,0
106330803,Brookville JSHS,6162,1,0,0
106330803,Hickory Grove El Sch,5231,0,0,1
106330803,Northside El Sch,6163,0,0,1
106330803,Pinecreek El Sch,2368,0,0,1
101260803,Brownsville Area El Sch,8384,0,0,1
101260803,Brownsville Area HS,4818,1,0,0
101260803,Brownsville Area MS,2154,0,1,0
122000000,Bucks County IU 22,0,0,0,1
122093460,Bucks County Montessori CS,7670,1,0,0
122091457,Bucks County Technical High School,1030,0,0,1
101631203,Burgettstown El Ctr,7477,0,0,1
101631203,Burgettstown MS/HS,4195,1,1,0
107650703,Bon Air El Sch,4333,0,0,1
107650703,Burrell HS,4340,1,0,0
107650703,Charles A Huston MS,4339,0,1,0
107650703,Stewart El Sch,4336,0,0,1
104101252,Broad Street El Sch,8494,0,0,1
104101252,Butler Area IHS,6690,1,0,0
